# r/A   g_OO    g_OH    g_HH
5.062499999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.287499999999999423e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.512500000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.737499999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.962499999999999467e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.187500000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.412499999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.637499999999999512e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862500000000000266e-01 0.000000000000000000e+00 1.457436336148146315e-03 0.000000000000000000e+00
7.087499999999999911e-01 0.000000000000000000e+00 1.366377162979334021e-03 0.000000000000000000e+00
7.312499999999999556e-01 0.000000000000000000e+00 2.567185114666757466e-03 0.000000000000000000e+00
7.537499999999999201e-01 0.000000000000000000e+00 3.261895752394294856e-02 0.000000000000000000e+00
7.762499999999999956e-01 0.000000000000000000e+00 1.218830622005808162e-01 0.000000000000000000e+00
7.987499999999999600e-01 0.000000000000000000e+00 3.786913765127470355e-01 0.000000000000000000e+00
8.212499999999999245e-01 0.000000000000000000e+00 9.861410970601957038e-01 0.000000000000000000e+00
8.437500000000000000e-01 0.000000000000000000e+00 2.278261786188609861e+00 0.000000000000000000e+00
8.662499999999999645e-01 0.000000000000000000e+00 4.512252720574918996e+00 0.000000000000000000e+00
8.887499999999999289e-01 0.000000000000000000e+00 7.791292750271921363e+00 0.000000000000000000e+00
9.112500000000000044e-01 0.000000000000000000e+00 1.131699788885758196e+01 0.000000000000000000e+00
9.337499999999999689e-01 0.000000000000000000e+00 1.424759468302711518e+01 0.000000000000000000e+00
9.562499999999999334e-01 0.000000000000000000e+00 1.542710266492382409e+01 0.000000000000000000e+00
9.787500000000000089e-01 0.000000000000000000e+00 1.504198118095468750e+01 7.165236593604856416e-04
1.001249999999999973e+00 0.000000000000000000e+00 1.298502302661225372e+01 6.846835236811104697e-04
1.023749999999999938e+00 0.000000000000000000e+00 1.000651454773805149e+01 0.000000000000000000e+00
1.046249999999999902e+00 0.000000000000000000e+00 7.151560568187286471e+00 1.881164551035676563e-03
1.068749999999999867e+00 0.000000000000000000e+00 4.562271376765623110e+00 6.009314247583805646e-04
1.091250000000000053e+00 0.000000000000000000e+00 2.703349238847764902e+00 2.882035435871812840e-03
1.113750000000000018e+00 0.000000000000000000e+00 1.548837678535756934e+00 4.980185461529762145e-03
1.136249999999999982e+00 0.000000000000000000e+00 8.166245712449404781e-01 5.316566219042577479e-03
